developer,developer_id
valve,1
gearbox software,2
malfador machinations,3
techland,4
"popcap games, inc.",5
spintop games,6
pyro studios,7
crystal dynamics,8
cryptic studios,9
akella,10
deep red limited,11
parallax arts studio,12
technetium games,13
liquid entertainment,14
blue omega entertainment,15
codemasters,16
zombie panic! team,17
cd projekt red,18
haemimont games,19
dovetail games,20
digital extremes,21
novalogic,22
sigma team inc.,23
poptop software,24
breakaway games,25
frog city software,26
ascaron entertainment ltd.,27
synetic,28
kokakiki,29
.dat,30
frozenbyte,31
"enlight software limited, perspectx",32
square enix,33
"arcen games, llc",34
amanita design,35
firefly studios,36
illusion softworks,37
fatshark,38
realmforge studios,39
octane games,40
2k czech,41
gaming minds studios,42
mediatonic,43
chromatic games,44
team17 digital ltd,45
digital reality,46
game distillery s.r.o.,47
re-logic,48
supergiant games,49
bohemia interactive,50
swing swing submarine,51
wild shadow studios,52
deca games,53
b-alive,54
acquire corp.,55
system prisma,56
drinkbox studios,57
freebird games,58
doubledutch games,59
telltale games,60
kw studios,61
chucklefish,62
star gem inc.,63
nexon korea corporation,64
daedalic entertainment,65
edelweiss,66
funcom,67
noumena studios,68
naddic games,69
dreampainters,70
overkill - a starbreeze studio.,71
5th cell media,72
rudolf kremers & alex may,73
tuna,74
abbey games,75
black forest games,76
eagle dynamics sa,77
young horses,78
core design,79
scs software,80
senscape,81
theresa duringer,82
pete andstadt,83
tripwire interactive,84
most wanted entertainment,85
avalanche studios,86
broken circle studios,87
xyla entertainment,88
paradox development studio,89
paradox tinto,90
kog,91
"monochrome, inc",92
toxic games,93
pieces interactive,94
netherrealm studios,95
high voltage software,96
blackmill games,97
kunos simulazioni,98
keen software house,99
wildtangent,100
vertigo gaming inc.,101
puppygames,102
blue bottle games,103
madrona games inc,104
"level up labs, llc",105
spark unlimited,106
comcept inc.,107
team ninja,108
crunching koalas,109
harvester games,110
final boss entertainment,111
projectorgames,112
colossal order ltd.,113
games farm,114
croteam,115
awesome games studio,116
deck 13,117
kadokawa games / grasshopper manufacture,118
tomoaki sugeno,119
herocraft,120
unknown worlds entertainment,121
ironward,122
coffee stain studios,123
mighty rabbit studios,124
gun interactive,125
iracing.com motorsport simulations,126
iracing,127
brilliant skies ltd.,128
bedtime digital games,129
the quantum astrophysicists guild,130
"cypress inheritance, llc",131
"fancy bytes, reactor",132
"amaranth games, llc",133
nexon,134
loren lemcke,135
vagabond dog,136
michael brough,137
rob howland,138
ostrich banditos,139
hello games,140
sproing,141
aldorlea games,142
"koei tecmo games co., ltd.",143
qute,144
serious bros.,145
playful corp.,146
dreamworlds,147
11 bit studios,148
orange_juice,149
"idea factory co., ltd.",150
"compile heart co., ltd.",151
"felistella co., ltd.",152
faravid interactive,153
ska studios,154
pocketwatch games,155
haruneko entertainment,156
trese brothers,157
blue mammoth games,158
torn banner studios,159
varagtp,160
upper one games,161
e-line media,162
asteristic game studio,163
anthony septim,164
turtle cream,165
pokpoong games,166
blendo games,167
targem games,168
shaman games studio,169
no goblin,170
gamigo us inc.,171
choice of games,172
playdead,173
vitali kirpu productions,174
hinterland studio inc.,175
caiys,176
downcast games llc,177
teyon,178
betadwarf,179
nik nak studios,180
skilltree studios,181
gun media,182
up multimedia,183
noble master llc,184
alasdair beckett-king,185
application systems heidelberg,186
double action factory,187
jorge rodriguez,188
qwiboo ltd,189
axyos games,190
red dot games,191
chasing carrots,192
digital melody,193
nihon falcom,194
mastiff,195
klei entertainment,196
jetdogs studios,197
miguel g. corchero,198
infinity plus 2,199
electric succubi,200
top3line s.r.o.,201
mvisioning,202
soviet games,203
spellbound,204
fayju,205
thomas biskup,206
jochen terstiege,207
zeno rogue,208
krzysztof dycha,209
lucas dieguez,210
brainseed factory,211
toadman interactive,212
eidos montreal,213
feral interactive (linux),214
feral interactive (mac),215
handelabra games inc.,216
warfare studios,217
bsk games,218
joycity,219
beza's workshop,220
house of tales,221
quarantine interactive,222
bob,223
chris mcfarland,224
leslaw sliwko,225
zoom out games,226
frontwing,227
milestone s.r.l.,228
spiderling studios,229
reperio studios,230
pixelnest studio,231
sim155 limited,232
rest.less games,233
old moon,234
idea factory,235
compile heart,236
play-em,237
eridani games,238
littlewitch,239
kasaa solution,240
grey alien games,241
felistella,242
a sharp,243
reborn games,244
crytivo,245
alexey davydov,246
sergey dvoynikov,247
timofey shargorodskiy,248
flazm,249
handygames,250
"crazydiamond co., ltd.",251
unicube,252
team 17 digital ltd,253
pinokl games,254
kverta,255
alda games,256
sinister design,257
frontier developments,258
klonk games,259
team isolation,260
hangar 13,261
aspyr (mac),262
frogsong studios,263
system era softworks,264
coredumping,265
stroboskop,266
bigosaur,267
hexwar games ltd,268
playsaurus,269
midian design,270
bulldog interactive,271
vladimir kudelka,272
"nippon ichi software, inc.",273
