publisher,publisher_id
valve,1
strategy first,2
techland,3
techland publishing,4
"popcap games, inc.",5
electronic arts,6
kalypso media digital,7
crystal dynamics,8
arc games,9
codemasters,10
zombie panic! team,11
cd projekt red,12
1c-softclub,13
dovetail games - trains,14
dovetail games,15
digital extremes,16
novalogic,17
thq nordic,18
sigma team inc.,19
frozenbyte,20
toplitz productions,21
square enix,22
"arcen games, llc",23
amanita design,24
firefly studios,25
2k,26
fatshark,27
nitro games,28
chromatic games,29
team17 digital ltd,30
handygames,31
immanitas entertainment gmbh,32
re-logic,33
supergiant games,34
bohemia interactive,35
swing swing submarine,36
deca games,37
"nis america, inc.",38
drinkbox studios,39
freebird games,40
tinybuild,41
skybound games,42
kw studios,43
raceroom entertainment ag,44
chucklefish,45
gaijin network ltd,46
nexon america inc.,47
daedalic entertainment,48
xseed games,49
"marvelous usa, inc.",50
funcom,51
naddic games,52
starbreeze publishing ab,53
warner bros. interactive entertainment,54
omni systems,55
abbey games,56
black forest games,57
eagle dynamics sa,58
young horses,59
scs software,60
senscape,61
temple gates games,62
tripwire interactive,63
warner bros. games,64
505 go inc,65
digital tribe,66
paradox interactive,67
kog games,68
"monochrome, inc",69
toxic games,70
pieces interactive,71
blackmill games,72
kunos simulazioni,73
keen software house,74
wildtangent,75
vertigo gaming inc.,76
puppygames,77
blue bottle games,78
madrona games inc,79
armor games studios,80
"koei tecmo games co., ltd.",81
crunching koalas,82
screen 7,83
final boss entertainment,84
devolver digital,85
croteam,86
awesome games studio,87
deep silver,88
eigomanga,89
herocraft pc,90
unknown worlds entertainment,91
ironward,92
coffee stain publishing,93
gun interactive,94
iracing.com motorsport simulations,95
iracing,96
brilliant skies ltd.,97
bedtime digital games,98
the quantum astrophysicists guild,99
"cypress inheritance, llc",100
komodo,101
nexon,102
loren lemcke,103
vagabond dog,104
michael brough,105
three flip studios,106
ostrich banditos,107
hello games,108
familyplay,109
markt+technik verlag,110
aldorlea games,111
serious bros.,112
playful corp.,113
untold tales,114
11 bit studios,115
fruitbat factory,116
"idea factory international, inc.",117
"idea factory co., ltd.",118
ska studios,119
pocketwatch games,120
haruneko entertainment,121
trese brothers,122
ubisoft,123
torn banner studios,124
varagtp,125
e-line media,126
asteristic game studio,127
turtle cream,128
annapurna interactive,129
targem games,130
hh-games,131
no goblin,132
gamigo us inc.,133
choice of games,134
playdead,135
vitali kirpu productions,136
hinterland studio inc.,137
caiysware,138
downcast games llc,139
mastiff,140
betadwarf,141
nik nak studios,142
good shepherd entertainment,143
up multimedia,144
noble master llc,145
application systems heidelberg,146
double action factory,147
qwiboo ltd,148
axyos games,149
playway s.a.,150
chasing carrots,151
klei entertainment,152
jetdogs studios,153
abylight studios,154
505 games,155
electric succubi,156
mvisioning,157
soviet games,158
fayju,159
assemble entertainment,160
brainseed factory,161
eidos interactive corp.,162
feral interactive (linux),163
feral interactive (mac),164
handelabra games inc.,165
warfare studios,166
mandragora,167
joycity,168
beza's workshop,169
quarantine interactive,170
ginormocorp holdings ltd,171
chris mcfarland,172
age of fear,173
zeno rogue,174
frontwing usa,175
milestone s.r.l.,176
spiderling studios,177
reperio studios,178
tygames,179
microprose software,180
rest.less games,181
humble games,182
idea factory international,183
play-em,184
jast,185
grey alien games,186
idea factory,187
crytivo,188
flazm,189
meta publishing,190
"crazydiamond co., ltd.",191
alda games,192
sinister design,193
frontier developments,194
aspyr (mac),195
frogsong studios,196
system era softworks,197
coredumping,198
stroboskop,199
bigosaur,200
hunted cow games,201
playsaurus,202
bulldog interactive,203
hangonit,204
fernando paulo (zefaistos),205
the merchant guild of rund (limited),206
riff studios,207
dracula's cave,208
valkyria games,209
corrosive studios llc,210
turning wheel llc,211
"imcgames co.,ltd.",212
marxnet,213
daniele ferraro,214
kalypso media,215
retroburn,216
creoteam,217
landfall,218
zarfhome software,219
astragon entertainment,220
fishing planet llc,221
behaviour interactive inc.,222
inkle ltd,223
stray fawn publishing,224
whispergames,225
giiku games,226
black sheep games,227
bright flask games,228
alien jellyfish,229
egosoft,230
xform,231
pixeltail games,232
iris,233
8floor,234
aad productions,235
wish fang,236
indienova,237
digitalmindsoft,238
crespirit,239
warballoon,240
all seeing eye games,241
34bigthings srl,242
tabletopia,243
crian soft,244
madruga works,245
gakuen.org,246
indie.io,247
second variety games,248
new game order,249
excalibur publishing,250
pixel maniacs,251
deep field games,252
new blood interactive,253
playism,254
"spike chunsoft co., ltd.",255
yox-project,256
drixxel soft,257
soedesco,258
mass creation,259
little green men games,260
killerfish games,261
outofthebit ltd,262
grabthegames,263
thegamesfortress,264
flarb llc,265
the game bakers,266
moonlit works,267
viking tao,268
balcony softworks,269
snoutup,270
wolcen studio,271
bandai namco entertainment,272
positech games,273
wube software ltd.,274
one hamsa,275
scarlet string studios,276
bleem.net,277
piko interactive llc,278
osarisgames,279
nodoxi,280
adamvision studios,281
daydream software,282
digital crafter,283
light of creators,284
curve games,285
ant workshop ltd,286
quantized bit,287
vikingfabian,288
weirdbeard,289
vrchat inc.,290
judobaby inc.,291
the digital lounge,292
wishlist games,293
wargaming group limited,294
contingent99,295
excalibur games,296
"acceleroto, inc.",297
ysbryd games,298
my way games,299
wolfgangis,300
hexage,301
sc jogos,302
code horizon,303
relative software ltd.,304
rocketwerkz,305
hybriona technologies llp,306
100 stones interactive,307
esdigital games,308
sad panda studios,309
hamster on coke games,310
hooded horse,311
slug disco,312
omni systems publishing,313
falling star studio,314
crunchy leaf games,315
v3663l,316
coconut island games,317
pqube,318
sonnori corp,319
shugasu gmbh,320
shiro games,321
autoattack games,322
smg studio,323
kalamona studios,324
transhuman design,325
alawar,326
silentplaygames,327
ice code games,328
unusualsoft,329
vladimir maslov,330
kwalee,331
cotton game,332
aerosoft gmbh,333
ziggurat,334
bandello,335
cult games,336
sega,337
raw fury,338
war child gaming,339
netnip ltd.,340
pixelsplit simulations,341
wayward thoughts interactive,342
"thekla, inc.",343
gosatsu visual novels,344
misc games,345
bbg entertainment gmbh,346
schmidt workshops,347
casual brothers ltd.,348
aggrobirdgk,349
ammobox studios,350
uruca game studio,351
wastebasket games,352
serenity forge,353
venugopalan sreedharan,354
ask an enemy studios,355
pixelsplit,356
magenta factory,357
imaginationoverflow,358
dk productions,359
giant fox studios,360
concept equals,361
movie games s.a.,362
hypetrain digital,363
borealys games,364
upgradepoint,365
eternity studios,366
furion studios,367
ondrej angelovic,368
a2z interactive,369
secret mode,370
airshipfx,371
d'avekki studios ltd,372
rodrigo banzato,373
guyhezi,374
kinmoku,375
gameforge 4d gmbh,376
nikola bulj,377
ibology llc,378
atomteam,379
orbcreation,380
ggtech studios,381
qubyte interactive,382
etherane,383
barrel roll games,384
tree men games,385
critical bliss,386
qubicgames,387
conglomerate 5,388
reactive drop team,389
magicdweedoo,390
nonsense machine,391
uki uki lab,392
yc games,393
runewright interactive,394
fullmetal developer,395
maulidan games,396
alessandro guzzo,397
pixelmouse,398
spoonweaver studios,399
neon doctrine,400
geometa,401
neoclassic games,402
super games studio,403
arvore immersive games inc.,404
moonmana,405
"krafton, inc.",406
whim independent studios,407
system 3,408
focus entertainment,409
diatomic games,410
"capcom co., ltd.",411
total mayhem games,412
pearl abyss,413
thorne games,414
flashbulb,415
bazooka tango,416
bethesda softworks,417
nobreadstudio,418
facepunch studios,419
snail games usa,420
crytek,421
crema,422
acram digital,423
izhard,424
"vblank entertainment, inc.",425
polarityflow,426
onomatope*,427
mikandi japan,428
megastorm games,429
blender games,430
lunarcityseven,431
madbox entertainment,432
the arcade crew,433
ce-asia,434
frozen district,435
electrocosmos,436
aldorlea,437
debdev,438
boomzap inc,439
id card,440
luden.io,441
stonebrick studios,442
crackshell,443
marvelous,444
joey drew studios,445
piece of cake studios,446
interdimensional games inc,447
codename entertainment inc.,448
red limb studio,449
triternion,450
rogue snail,451
"carx technologies, llc",452
hidden io,453
we dig games,454
red meat games,455
salmi games,456
blue phoenix games,457
yyrgames,458
parttimeindie,459
defstudios,460
orobo games,461
mimicryteam,462
mindscape,463
ignis sanat,464
fellow traveller,465
imgn.pro,466
asa studio,467
brian lancaster,468
laughing coyote software,469
colorful games,470
cloak and dagger games,471
visumeca games,472
apeirogon games,473
cinemax games,474
aaron cochrane,475
team infestus,476
james sager,477
quiet river,478
lambdadev,479
renxo europe limited,480
axon games,481
spielmannspiel,482
rogo digital,483
lozange lab,484
oddscure,485
echo,486
dreampainters software,487
uncasual games,488
"boundless dynamics, llc",489
sakuragame,490
paradox arc,491
lightup,492
ktulhu solutions,493
bkdove studios,494
sgtokidoki,495
bytro labs gmbh,496
byting games,497
opti games,498
trebuchet,499
silver spook games,500
the 4 winds entertainment,501
kitfox games,502
maciej targoni,503
charles games,504
jason halliday,505
toplitz,506
u7 committee,507
jcp games studio,508
self,509
team17,510
valkyrie initiative,511
autumn knight,512
overhead games,513
arcade badgers limited,514
fatalitech,515
"bigbox vr, inc.",516
aurumdust,517
evil games,518
poking water games,519
garage 5,520
cylinder studios,521
iwangr,522
fulqrum publishing,523
shiv,524
heaven brotherhood,525
northwood studios,526
kagura games (chinese localization),527
monkeys might puke!,528
massive crystal studios,529
hard shark games,530
playa games gmbh,531
darkflux games,532
fowers games,533
rewindapp,534
megagon industries,535
rappid studios,536
honest rogue games,537
maple whispering limited,538
star drifters,539
graphxgames,540
bouncyrock entertainment,541
papaya play,542
maggese,543
